Username,Comment
@_Infinite_Inside,When will come samsung S10 fe and fe+ unboxing ??????
@NaitikLal,0:20 BECAUSE THIS IS THE TIME OF BACK TO COLLEGE AND BACK TO SCHOOL 
@OZEN999,Buying a tab has been my dream since childhood 
@velonex401,HAPPAY RAM NAVAMI GUYS
@AadeeTirkey,Bhai jisko exam ma pass hona vo hazri lagao
@virajsuryavanshi8448,"Go for Redmi SE 4..i was working on a 9k stipend..i purchased on EMI, Today cleared the EMI...it was my first device purchased by self-earning..its an excellent product and the battery life goes for 3 days after 100% charging...IDFC is a good option for EMI."
@partha0603,Ipad 10 gen or S9 fe which is good for study and note taken only .
@AnimeUnit-g5z,Tablet  i pad  2025 - 2050
@Shubhamzzzzzzz,Vote for 30k under smart mobile video
@grindli·com,"I'm not saying this video changed my life, but I'm not saying it didn't"
@standwithReligion,No one notice that Arun said at  1:33 Real me but it's written as Redmi...
@Paras12008,Tablets itne saste price mein acche mil rahe toh sabka interest ayega tablets mein 
@sahilsonalkar3736,Eagrly waiting for this video thanks @trakin tech
@Cartoon_World_creator,Sir samsung tab S9 FE+ ke bare me ek video chahiye pls 
@harshranjan3517,Need a detailed comparison video between i pad 11th gen and OnePlus pad 2
@Race1234-v4i,4:15 Xiaomi is better 
@VinitTandalekar,2:02 Is it really worth to invest in realme pad instead of oneplus pad go?
@ashikkumar_11,Frist comment after watching full video 
@shubhampatelsrx,Make a unboxing and impression video Moto pad 60 pro
@atulbaghresh4877,3:34 samsung aur oneplus list me nhi hai?
@tejasladke4582,New Ipad 11th Gen or used 2022’s Ipad Air 4th Gen which is best ?
@Invisgamerog,"Thank you bhaiya for the new aspect ratio, full screen mein video aata hain on iphone 15 plus"
@realsigma7856,Samsung tab s10 plus and ultra are in the market but why not tab s10 ???....will tab s10 ever launch or not?
@VivoV21e-sj1xn,The only tablet I can afford— Paracetamol
@Yashmg146,Moto ka Add Kis kis ka Aaya 
@PotatoBangBang404,Yesterday got the Xiaomi Pad 7 and it's worth it 
@samirahmed4123,"Hey tech bhai, when will the Xiaomi pad 7 pro will launch in India
Or should i go for the pad 7"
@mr.malluclasher,iPad 11 vs Xiaomi pad 7 . Which is better ?
@saranshlohiya5060,Samsung  S9 FE / FE+ Or A9/A9+??
@mothelkhaling5735,What about samsung s9Fe??
@neelamtigga5758,Xiaomi Pad 7 vs Ipad A16 (Which One Should I Buy?)
@tagdashorts5420,Lenovo IdeaPad pro is best among all do review it
@AbhishekPatidar735,"Bhaiya mera budght aprox 30,000 hai konsa jyada better rahega for long term use S9 FE ya ipad 11 ( Although my primary device is of samsung) and mainly purpose for study ,note taking and light gaming , please suggest me"
@blkrody6948,"I have ordered OnePlus Pad 2 12/256 GB variant for 40,000 and still value for money Tablet but if you're paying 40k for a tablet and not getting a sim slot option or calling feature that's really bad  but any ways I got value for money Tablet for 40k."
@ashishashish5194,"Sir I was confused in ipad 11th gen 2025 vs ipad air m3 2025 verients please suggest me 
I want long term usable tablet with fast brausing experience"
@VedantKadam01,"Which tablet is best for study , normal gaming with best OS"
@adityamoravkar9884,Which is the best tab in the budget for Medical students?
@Nnyusou,4:39 it's showing above 30k not 27k
@RCGamer-ff,Bhai Vivo t4x 5g par video banao
@pratikjadhav6397,"Hello sir Abhi Xhaomi Pad 6 lena Acchi Deal hogi kya..?

Or Upcoming samsung or One plus ke pad Bhi aane wale hai April me us ko Bhi add karo"
@Hema_moyade,Lenovo idea tab pro is good for student  ?
@Tech-newsreview8888,Long term study ke liye main bhi a tablet chahta hun  usmein Badi screen hoti hai to Shayad vah Meri aankhon per jyada effect na Karen ️
@MayankPanchal-h5s,"lenovo idea tab pro  12/256  over xiomi Pad 7 for the official use and note taking, please suggest i m much confused for this two to select"
@technoraj3616,Why there is very less review of samsung tablets
@Just_f.f,Congratulations for 15 million subscribers 
@subhojitsaha6404,"Why not any samsung product??
Please reply sir I am asking genuinely."
@snehu455,For students which is best? I'm starting my college after 2 months
@nihaluddhav2072,Thank you sir 
@murtaza7-y7c,"I'm confused which one should I get between xiaomi pad 7 or ipad 11th gen? For gaming, studying and multitasking"
@WhoDhulo,Best earbuds and neckband under 5000
@anuraggautam5636,"is ""galaxy tab s9 fe plus"" not a good option ?"
@madhavendrashenoy,Ipad is the gold standard for tablets
@yatinkumar7586,Which one is better I pad or samsung s10 fe plus???
@RajarshiMukherjee-p9o,6 minutes!Trakin Tech sir is the BEST!
@lucyparker1538,"Suggestion: 
Kindly include details about stylus for individual tablets. Like what stylus are supported or what technology it uses for stylus. 
Third party stylus spported or not.

Rest video format is good. 
Keep this series going.

Opinion:
I think people are now prefering tablets because most of their performance demanding task could be easily done on android, with the recent jump in performance to price ratios. One wants bigger screen, more control, easy portability, all boxes are checked by tablets.
I am soon going to transition from gaming laptop to tablet. My basic use case is studying: watching lecture, note taking, casual gaming, video editing, etc."
@thakkarjainik4800,Kya ipad air m3 5 -6 years smooth chalega ?----please reply
@texanshorts,Can we add a SIM in a tab?
@DIPENDRAKUMAR-y7d,"The best part of this tech family channel is its for everyone either its for adult,students,old people 
Your team& you consider every aspects of people .....efforts matters for MENS "
@TheSurajRawatVlogs,Jo video chah rha tha...vhi aa gyi. Thanks a lot brother 
@CatalogueOFFICIAL,Which one is best Xiaomi 7 or iPad 11
@manav_ahire,Aapka alvideo ka aspect ratio mobile mein perfect aa rha hai
@neelamsgallery,Which is best tablet under 30 k for affiliate marketing on social platforms WhatsApp etc
@Picasso0511,OnePlus pad 3 kaab ayega?
@chintuzone6881,lenovo tab plus is underrated and recommendable. its sound quality is ultra premium and zui 17 based on android 15 got now. stock rom. clean .all features included. . i got in bbd sale rs15k. also at some sales prices slash. you can look for it if not for major gaming
@mayankaggarwal3527,Any 5G connectivity best Android tablet?! Suggest please
@DBGPLAY,My favourite tech channel 
@SagarKalra-u5m,"My budget is 20-25k , should i get a S9 FE tab or any other suggestion?? Want to make notes and little bit of video editing"
@raifulislam1350,"I want xiaomi pad 7 pro or xiaomi pad 6s pro ,but both are unavailable in india right now. I don't want samsung or I pad . What can I do?"
@Sunil4922kumar,"Can we replace tablet with laptop for using Microsoft Excel,.."
@ecstacyworld987,is S9 fe worth it under 30k or ipad?
@prasunnonstop13,Realmeui in redmi pad  2:21
@DelayedNeutronss,"You didn't mention the Samsung Galaxy Tab S9 FE, one of the best tabs out there, at a very reliable price, comes with an S-pen. The Samsung Note app is best for making notes; I've been using it for the last 4 months. This tab is currently below 30k in flipkart."
@anishtoppo08,Kya ham I pad 11 gen se vn pr video editing kar sakte h....koi leg problem ya koi or problem ho sakta h??...kyoki....me confused hu ki ipad air lena chahiye ya I pad 11 gen ...mera budget bhi jyada nh h....mujhe bus kabhi kabhi youtube or instagram ke liye..video editing karna h ....full hd video ya kabhi kaabhi 4k.... normal edit...bus...
@stupengamer,"ipad me jo pencil supported hai, usme pressure sensitvity nai hai na? matlab procreate use nai kar sakte hain isme"
@mahakaalll2001,It's shocking to see apne under 20k category mei Galaxy Tab A9plus ka zikr v nhi kiya...instead of that yeh sb poco aur redmi xiaomi k faltu kachra wala tabs ko recommend krte chale gye....Tab A9plus is such a gem is under 20k price bracket...i bought it in 2024 diwali it's marvelous....I dnt feel that it's under 20k price...yeah there are few limitations bt still it's the best in its price range...aabtak March ka security update v mil gya..aur in coming April 2nd week OneUI 7 v mil jayga...I mean it's so good
@ShubhamrajeMohitepatil,Which laptop do you use
@vishwajeetnikam,Best one for trading  konsa le sir please suggest
@RUGy_12,How's the redmi pad pro. I think it's best
@IshantChaudhari007,"This Video must include Samsung galaxy Tab S9 fe 
I am using this tab for 6 months best for productivity and get warm on gaming with high settings"
@itsarjun19,Can we connect wireless keyboard and mouse through usb adapter on Xiaomi pad 7?
@ariflifestyle7647,25k mai Ipad mini 6th lena sahi rahega gaming k liye....????
@Saksham-f4z,"Why didn't you added Xiaomi pad 6 in under 20k segment?
It is way better than those tabs you said in under 20k segment!!!
Didn't expected from you brother"
@Alamgts,Nothing Phone 3a 128gb aur 256bg Variant Me Kya Alag Hai Ya Same Hai ??
@Tweencraftoon01,Video editing ke liye konsa tab best hai
@priyam3361,Please sir continue this tablet series 
@manish.badgujar_,Good video 
@VivekPratapSingh-tw7hn,First comment 
@smartavinashyt2617,Awesome 
@ariflifestyle7647,Sir 30k mai Ipad pro 2020 lena kaisa rahe ga? ???please reply
@ManjitKumar-i7o,Big fan 
@krissh4389,Sir when the unboxing video of Pixel 9a will come
@aksrivastav3437,Realme p3 vs vivo t3 me best camera kaun hai
@mithileshchaudhary8216,Makea video on budget friendly keyboard for ipad 9th gen.
@NM-yj6uu,"Lenovo tab pro - is HDR or Dolby vision present in Netflix, prime video and YouTube?"
@ssosach75,Lenovo tab plus kaisa hai?
@dragonsmile5722,Make a video of tablet for collage under 55000.
@Rajeev_100,Kon kon Gaming ke liye lene ki soch rahe hai 
@itz_UNKNOWN_EDITZ,Best laptops under 30000 please 
@mohammadshamskhan,2:01 realme ui  redmi ui
@XenlotGaming,Sir please make a video on under 30 to 35000 budget price best phones current now
@pallemchanakya573,Bro....A small correction in your Video.......The Second Tablet that you have shown less than 15k price range is REALME PAD 2.....Ur Team has written as REDMI PAD 2 ..... A small correction and request only..Please don't mind Bro
@ihenryss,How is Realme Pad 2 lite ??
@MaheraKhan-i9v,"Bhagwan ka diya sab kuch hai 
Lekin kaha hai pasta nahi"
@DODOWON,Why narzo 80 pro review is still now not available?
@jun_kumar,Nice video 
@Abhijee_t,Can you make video on best phone under 25-30-35k?
@pratappatel5448,Suggest for best mobile under 20k to 25k
@POWER_STAR_PRINCE,KON KON AB TABLET USE KARNA CHAHTA HAI 
@thefacebookthefacebook6352,Pubg wala lo ka kamal hai 
@harshrajawat744,Bro make a dedicated vedio on tablets under 15000
@AditiGamingGirl,Xiaomi pad is best 
@Roy2004_,Make top 5 best laptops under 30-35K please
@harishmayanglambam4138,Plz make video also for sim card support tablet
@Eluminati548,"Refurbished ipad air m1 is still worth it in 2025 ??
Please reply "
@indranilchatterjee7202,"Are sir kaha the app itne din , ye video bahut helpful hai mere life , cause I'm planning to buy one"
@towfickimroj1101,Moto ka ad kis kisko aya 
@SnehashisBasak,Arun Sir Motorola edge 60 ultra ka price kitna hoga ?
@rajneeshgupta23,make a vdo on moto pad 60 pro please
@Adarsh_yadav_4141,Sir what about redmi pad 6 
@ADARSHPOTADAR,Mi pad 6 18999 me Lena worth he kya?
@VISHAL_FF_83,when will iqoo neo 10 pro come in india
@SurenThapar-i5y,Ipad me koi free of cost note taking app bta do plzz as a student
@BhashkarMishraa,Make video on S25 ultra camera. U promised that u will make video on camera also but u forgot. Kindly make it
@abhishekdhore1910,Please tell good windows tablet..
@SujataSonawane-h9h,Samsung is good or not??
@ramraodabhade5924,Please make seperate video for tablet with pen
@DurgeshGupta-i3b,0.32 sir can touched 15M 
@inlyrics6321,Where are samsung s9 fe and A9 plus ??
@saurabhmirajkar4392,"@Trakin Tech, In this  video you didn't talked  about how many software update brand will  provide. As a User it's a very difficult to find these information. I hope next time you will add these details in your video."
@sirajuddinshaikh2758,You missed to mention that Lenovo idea tab pro includes pencil in the box at no extra cost that make more value
@CXMoYNoob,Watching this on ipad 11 gen
@ankiyadavvvv,Bro check 2:02 time stamp there is a mistake thats realme tablet not redmi
@cyruxgaming127,"Sir ,can you make a video on Samsung tablets,there are many options in that so can you make a video specifically for all samsung tablets....."
@TechAsh1,Who got motorola ad like here 
@Koushik_99x,From where I can get the official trackpad keyboard for Xiaomi pad 7
@debojitnath2178,Apne Lenovo pro tablet nehi dekha kya??
@kanhaiyalalgupta6183,Sir poco c71 ke upar ek video bnao na please
@Kaustav9020,Ipad 11th gen is not worth buying
@ShivamKumar-lt7qr,Sir.. samsung galaxy s9 fe plus ka video bana do ...lu ya na.....bahut sare video dekha pr confuse hoon
@SiddharthKumar-ci3qd,Sir under 40 k best phone ka video kab ayega
@UtkarshKale-q5w,Sir OnePlus Pad. 28999 ko hai aacha hei kya
@ViratGaliyan,Iam watching in poco pad 5g 
@mr.huzaifa09,BEST 5G TABLET FOR (STUDENT)
@sudiptasarkar9049,"Sir me primarily gaming ,then multimedia consumption after that...normal use k liye ek tablet search kr raha hu, to long term k liye kyuki me bar bar invest nahi kr payunga, to kya ipad lena chahiye? Yafir lenovo ya mipad 7 konsa best hoga please thora help kijiye ga"
@AniketUpadhyay-z8h,Upcoming kya koi achha tablet 25000 tak aayega
@rashyaj,Hello I would like to know how do you get mobile phone from china ?
@mrigankadas8435,Where is Galaxy tab s9 fe plus?
@tw11world61,"How I get students discount on iPad 11th gen 
Where this option com plz reply"
@SS.production-u,Should we buy macbook air m1 or m2 in 2025 as a diploma student.
@Killerff39-n3d,1:30 1:33 1:33 1:34 1:34 1:34 1:34 1:34
@cartoondhamaka-js8te,Vivox200pro and xiomi 15ultra compare kijiya
@ViratGaliyan,Iam watching in poco pad 5g 
@MadinaMobile-m3b,Sir  vivo v50 pro Launch date
@JeetMondal-nt7gp,Video on Best mobile under 25k
@deepakbagade2363,"Sir.... Please tell me lowest price me (only) best study  digitaly notes making with Stylus pen and big screen ke liye kon tablet le 
Please suggest me I'm waiting for your valuable answer"
@kartiknarang208,Can you please tell me that xiaomi pad 7 will conect with mobile hotspot or not ?
@rajkumargaur1733,Moto ka add dekhkar kon a raha hai
@abhayjayesh,"That non laminated display of iPad just isn't good enough to enjoy content viewing, had iPad 10th gen for 5 months now sold it.."
@amstatus9454,"HARD REQUEST 
VIVO T3 ULTRA AFTER FUNTUCH OS 15 ANDROID 15 UPDATE KE BAAD NIGHT CAMERA AKDAM KHARB HO GYA KUCH BHI SHOW NHI HO RHA . AE PROBLEM KAY NEXT UPDATED KE BAAD THIK HOGA YA FIR SERVICE CENTRE JAKE BOLNA PADEGA PLZ SUGGEST ME ."
@ArvindKumar-m8c3g,Sir i 'm your biggest fan hr vedio dekhta hu sr 
@kapilvanik,Good information tablet video 
@DeepeshYaduvanshi-u1q,Bhai 18% gst kaise claim karu  ipad 11 gen
@PrasantaMadhuCrezyWorld,Video editing kliye konsa tab sehi rehga under 30000
@rajukhillare2763,सर स्क्रीन 10 के नीचे हो तो बडिया है.....
@ParthaRay-x6m,any new launch(after march 2025)  coming in tablet industry from Samsung ?
@Bhuvneshbh,Review redmi pad pro 5g 
@sumanpal9256,suggest best tablet for Multimedia only… watching content on youtube and movies on netflix… No budget problem
@brahmanboys6209,But samsung s9 fe best for students and non Gamer person
@arastunnisha,Bhai infinix xpad 4g ka kya
@Nihal1412,Sir ipad 11 base vs Xiaomi pad 7 top variant nano texture display comparison
@NiruponBiswas-el5ke,Guy's pad 7 or 11th gen?
@Nnyusou,Finally most requested
@aryanjawed1087,Bro yesterday i bought xiaomi pad 7 and its worth it 
@Gamezztopia,Because of anime 
@shenphenvlogs,I'm so confused so which is perfect mi pad 7 vs idea pro?
@sudeepkumar-s2y,sir samsung s10 fe tab pr video chahiye plzz..
@punammishra7403,What about motorola pad 60 pro?
@sagardhond5784,Can you help me to know about lenovo tabs
@snehalverma9306,Hows xiaomi pad pro ?!
@ectomorph01,Sir G Lenovo m10 tab 5g review do please
@KaranBoricha-pv7gv,"Vivo x200 mini
 ya phir oppo find 8 x s in dono me se koi phone india me launch hoga kya"
@sciencehunts,1:32-spoken realme instead of redmi..............please correct
@HemantBansal_Ki_Mummy,Bought pad 7 with focus pen.... Everything is superb..but sometimes when its heat its os become s laggy
@KrishnaSharma-g1g5o,Where is oneplus pad 2.....??
@RakeshSingh-nu3dc,"Sir aap se ek baat puchni thi 
Ki aagar aapke paas thora sa time ho to 
Agar watshop hack ho jaye or link ko logout nahi kiya h darect reset kar diya phone to 
Watshop hack hona band ho jayega 
Plz 
Sir Aap to mobile ke bare m hi batae ho"
@momo0o0,What about xiaomi pad pro 5g?
@pranavkumar7758,Poco pad ke liye kon sa stylus support krega kuki ushka original stylus nhi aata hai stock mei
@sachinbanjara3346,1st comment 
@Moviesfectory,Best leptop under 35000 please 
@CARSTonyFrank,"Sir, make an unboxing video and review of newly launched Samsung Galaxy Tab S10 fe and S10 fe plus"
@KaramchandraSrivastava,Sir please make a video on best phone under 15000 please
@shwetsharma5238,In the second tab suggestion it's realme pad 2 you have written Redmi Pad 2. The confusion it created 
@AmitKumar-gm3eo,Realme pad mein pencil kam Karega sir
@dikshagupta9078,Redmi pad pro 5 is the best with sim slot available  under 30k
@Quest0809,Can I use Microsoft office (official version) in tablet?
@GeekyAlii,Rog Ally at 35k a proper high end windows gaming machine
@nirmalsaud7810,Banglore mein one plus 13 buy karane key Liye kisa store mein jaa sakatey Hy jahaa Easily Mila jaaye
@Prashant-rp2go,Suggest best tab for study with pen under 30k
@BelaluddinAnsari-o1o,Sir khus kr diye like v comment aur sub………
@ASHIQBHAIGAMING2006,Nice video 
@DlowCodfish,How can you forget about samsung galaxy s9 fe !!
@calming_king-wz6hr,"Hi, you said realme pad 2 but you had mentioned redmi pad 2 in that animation of specs….."
@manojhsidbdb,Sir 6.7 inches screen aslele Mobile vaprun khup tras hot ahe small size chya Mobile cha video banvta ka in hand feel ok pahije
@mythosray,Using Xiaomi Pad 7 with F6. Perfect Combo!  (4+6yrs Update increased for Pad 7)
